,base,distil,quant4,quant,quantf8,prune,prune4,prune6
0,0.0107810497283935,0.0083458423614501,0.0323522090911865,0.0217931270599365,0.0269734859466552,0.012479543685913,0.0134625434875488,0.0121264457702636
1,0.0099198818206787,0.0073955059051513,0.0310220718383789,0.0203092098236084,0.0223529338836669,0.0119895935058593,0.0136992931365966,0.0121610164642333
2,0.0101127624511718,0.0071265697479248,0.0312025547027587,0.0208039283752441,0.0230813026428222,0.0109782218933105,0.0124821662902832,0.0165181159973144
3,0.0099897384643554,0.0071034431457519,0.0316879749298095,0.0205328464508056,0.0210852622985839,0.0108702182769775,0.0107231140136718,0.0162653923034667
4,0.0098776817321777,0.0072553157806396,0.0315513610839843,0.0205543041229248,0.0216712951660156,0.01143479347229,0.0103585720062255,0.0140023231506347
5,0.0100317001342773,0.0071127414703369,0.0309987068176269,0.0206642150878906,0.0228533744812011,0.0125033855438232,0.0106680393218994,0.0134968757629394
6,0.0101025104522705,0.0071909427642822,0.0317368507385253,0.0216274261474609,0.0217013359069824,0.0109250545501708,0.0103423595428466,0.0147502422332763
7,0.0099315643310546,0.007131814956665,0.0322732925415039,0.0203962326049804,0.0228400230407714,0.0116028785705566,0.011136770248413,0.0164027214050292
8,0.0113625526428222,0.0070855617523193,0.0322737693786621,0.0224549770355224,0.0217814445495605,0.0111286640167236,0.0104978084564208,0.0140583515167236
9,0.0100030899047851,0.0074813365936279,0.031052827835083,0.0206668376922607,0.0226106643676757,0.0115432739257812,0.0120661258697509,0.013336181640625
10,0.0101213455200195,0.0074203014373779,0.031022310256958,0.0214602947235107,0.024216890335083,0.0109574794769287,0.0103838443756103,0.0123820304870605
11,0.0098514556884765,0.0070271492004394,0.0339815616607666,0.0213043689727783,0.0214197635650634,0.0124192237854003,0.010364294052124,0.012786865234375
12,0.009946584701538,0.0071115493774414,0.0311660766601562,0.022719383239746,0.0211775302886962,0.0116305351257324,0.0128488540649414,0.0119681358337402
13,0.0109984874725341,0.0067393779754638,0.0305037498474121,0.0208399295806884,0.0220923423767089,0.0128512382507324,0.014111042022705,0.0147843360900878
14,0.0099861621856689,0.0068919658660888,0.0305795669555664,0.0203773975372314,0.0225880146026611,0.0109403133392333,0.010308027267456,0.0109968185424804
15,0.0097143650054931,0.0072579383850097,0.0316486358642578,0.0216391086578369,0.0220074653625488,0.0112671852111816,0.0102696418762207,0.0137829780578613
16,0.0099794864654541,0.0069875717163085,0.0312061309814453,0.0205414295196533,0.0209674835205078,0.0111241340637207,0.0108871459960937,0.0127930641174316
17,0.0099086761474609,0.0068461894989013,0.0329842567443847,0.0206110477447509,0.0212087631225585,0.010901927947998,0.0102899074554443,0.0127830505371093
18,0.0099196434020996,0.007361888885498,0.0305926799774169,0.0305719375610351,0.0211923122406005,0.010878562927246,0.0103747844696044,0.0108880996704101
19,0.0098803043365478,0.0073139667510986,0.0308082103729248,0.0216591358184814,0.0222992897033691,0.0114228725433349,0.0100636482238769,0.0116691589355468
20,0.0119688510894775,0.0163533687591552,0.0328068733215332,0.0211648941040039,0.0211293697357177,0.0126676559448242,0.0107548236846923,0.0125107765197753
21,0.009873628616333,0.0069749355316162,0.0313708782196044,0.0210635662078857,0.0216472148895263,0.0112972259521484,0.010406494140625,0.0135664939880371
22,0.0098876953125,0.0082547664642333,0.0306086540222167,0.0219547748565673,0.023226261138916,0.0110926628112792,0.0102663040161132,0.0111627578735351
23,0.0098867416381835,0.0073497295379638,0.0310227870941162,0.0220739841461181,0.0209391117095947,0.0116693973541259,0.0102035999298095,0.011221170425415
24,0.0100879669189453,0.0073273181915283,0.0321824550628662,0.0207924842834472,0.0207421779632568,0.0110144615173339,0.0113911628723144,0.011096715927124
25,0.0097622871398925,0.00689697265625,0.0312554836273193,0.0233242511749267,0.0210342407226562,0.0111324787139892,0.0103425979614257,0.012413740158081
